Weather,data_size,0.7,0.6863636363636354,"['5', '10', '20', '30']","[0.9805194805194791, 0.8422162253331077, 0.7167207792207787, 0.7220297683467328]"
Weather,fig_size,0.7,0.5723361865407323,"['1', '10', '20', '50', '80']","[0.8176231236296175, 0.8165344305766387, 0.8176231236296176, 0.8090496658374098, 0.8027474419519876]"
Weather,isentropic,0.7,0.7000000000000001,"['1', '10', '50', '100', '200']","[1.0, 1.0000000000000002, 0.9999999999999998, 1.0000000000000002, 1.0, 0.24675324675324678, 0.4734293962936414, 0.4953281437402783]"
Privacy,gpu,0.7,0.7000000000000001,"['30', '40', '65', '75', '80']","[0.9986342481071739, 1.0, 1.0, 1.0, 1.0000000000000002]"
Privacy,fps,0.7,0.7,"['15', '20', '25', '30', '35']","[1.0, 1.0, 1.0, 1.0, 1.0]"
Privacy,pixel,0.7,0.7,"['480', '720', '1080']","[1.0, 1.0, 0.9991801068734008]"
Privacy,pixel,0.7,0.7000000000000001,"['480', '720', '1080']","[0.9999999999999999, 1.0, 1.0000000000000002]"
CloudDB,batch_size,0.7,0.688507021337947,"['500', '1000', '10000']","[0.5958533298276418, 0.590326861213235, 0.8591474673202617, 0.9785232456953371, 0.98358145905421]"
CloudDB,cached,0.7,0.6711381540683986,['True'],"[0.6415086499889746, 0.9587687915262838]"
CloudDB,limit,0.7,0.6981956531141867,"['100', '500', '1000']","[0.9974223615916954, 0.7736974031493727, 0.7727955233564017, 0.64639548490965]"
CloudDB,threads,0.7,0.5650793745194156,"['1', '5', '10', '20']","[0.7947290216331633, 0.8052710144106662, 0.7936781293552956, 0.807256249313451]"
Weather,data_size,0.7,0.6843749999999993,"['5', '10', '20', '30']","[0.9776785714285704, 0.7694933197600167, 0.71387987012987, 0.6943624557260922]"
Weather,fig_size,0.7,0.5640343676210156,"['1', '10', '20', '50', '80']","[0.8057633823157365, 0.8057633823157364, 0.7796508121400867, 0.7752987171108116, 0.7669850610698826]"
Weather,isentropic,0.7,0.7000000000000001,"['1', '10', '50', '100', '200']","[1.0, 1.0000000000000002, 0.9876779740821946, 1.0000000000000002, 1.0, 0.24675324675324678, 0.34720504014770015, 0.27211850649350633]"
Privacy,gpu,0.7,0.4717776674822698,"['30', '40', '65', '75', '80']","[0.6739680964032426, 0.6654805002891666, 0.6636101774545491, 0.6112437346941875, 0.5994367300346564]"
Privacy,fps,0.7,0.7,"['15', '20', '25', '30', '35']","[1.0, 1.0, 1.0, 1.0, 1.0]"
Privacy,pixel,0.7,0.6994307532940445,"['480', '720']","[0.9991867904200636, 0.9062745192955509, 0.024082072380591953]"
Privacy,pixel,0.7,0.6999999999999998,"['480', '720']","[0.9999999999999999, 0.9975806451612903, 0.0]"
CloudDB,batch_size,0.7,0.6715111952133795,"['500', '1000', '10000']","[0.5958533298276418, 0.590326861213235, 0.8373216671472511, 0.8921608584610314, 0.9593017074476851]"
CloudDB,cached,0.7,0.6669435000414549,['True'],"[0.5949211106209354, 0.9527764286306498]"
CloudDB,limit,0.7,0.6981956531141867,"['100', '500', '1000']","[0.9974223615916954, 0.7711197647410682, 0.7555817226247118, 0.5587704192583896]"
CloudDB,threads,0.7,0.5499673004373319,"['1', '5', '10', '20']","[0.7856675720533313, 0.78055474371121, 0.7660737824694825, 0.7628460293431099]"
Weather,data_size,0.7,0.5279799760490453,"['5', '10', '20', '30']","[0.7542571086414934, 0.6907070033591951, 0.5973119956857201, 0.6544177764634485]"
Weather,fig_size,0.7,0.5131711801456119,"['1', '10', '20', '50', '80']","[0.7331016859223027, 0.7250316242199358, 0.7104853583626485, 0.6337970380989862, 0.566098645897753]"
Weather,isentropic,0.7,0.6961593922176309,"['1', '10', '50', '100', '200']","[0.9757778177681935, 0.8759867305651601, 0.8702346867976578, 0.9229565190401231, 0.9945134174537584, 0.0, 0.1484124641592174, 0.11544421487603314]"
Privacy,gpu,0.7,0.0,[],"[0, 0, 0, 0, 0]"
Privacy,fps,0.7,0.0,[],"[0, 0, 0, 0, 0]"
Privacy,pixel,0.7,0.0,[],"[0, 0, 0]"
Privacy,pixel,0.7,0.0,[],"[0, 0, 0]"
CloudDB,batch_size,0.7,0.31693060361399455,"['50', '100', '500', '1000', '10000']","[0.45275800516284936, 0.4464060337370242, 0.44467657121059206, 0.4430110818684092, 0.4502423737264514]"
CloudDB,cached,0.7,0.6264594602136198,['True'],"[0.0, 0.8949420860194569]"
CloudDB,limit,0.7,0.3169667405565167,"['100', '500', '1000', '2000']","[0.4460029360702614, 0.4426489290262674, 0.4528096293664524, 0.4485730953839869]"
CloudDB,threads,0.7,0.3167795982164312,"['1', '5', '10', '20']","[0.4415886830528781, 0.44845748490879195, 0.45254228316633033, 0.4474058319559442]"
Weather,data_size,0.7,0.45529800849403135,"['5', '10', '20', '30']","[0.6335860031641787, 0.6504257264200448, 0.4918412056411751, 0.463002881045915]"
Weather,fig_size,0.7,0.4660488509281122,"['1', '10', '20', '50']","[0.6509736691034884, 0.6657840727544461, 0.6579869571426564, 0.5320582184320009, 0.2750981448881206]"
Weather,isentropic,0.7,0.6338604497842526,"['1', '10', '50', '100', '200']","[0.905514928263218, 0.755766401989515, 0.6348639850562174, 0.7537990936732821, 0.8948131319719693, 0.0, 0.0, 0.0742141381345927]"
Privacy,gpu,0.7,0.0,[],"[0, 0, 0, 0, 0]"
Privacy,fps,0.7,0.0,[],"[0, 0, 0, 0, 0]"
Privacy,pixel,0.7,0.0,[],"[0, 0, 0]"
Privacy,pixel,0.7,0.0,[],"[0, 0, 0]"
