size,delta,device_type,cpu,memory,consumption,timestamp,gpu
10,23,PC,6,19,75,2024-03-19 17:25:17.578710,0
10,23,PC,5,19,74,2024-03-19 17:25:17.603956,0
10,24,PC,0,19,69,2024-03-19 17:25:17.631023,0
10,24,PC,4,19,72,2024-03-19 17:25:17.657260,0
10,25,PC,0,19,69,2024-03-19 17:25:17.684663,0
10,23,PC,0,19,69,2024-03-19 17:25:17.710273,0
10,24,PC,3,19,72,2024-03-19 17:25:17.736930,0
10,24,PC,6,19,74,2024-03-19 17:25:17.763043,0
10,23,PC,6,19,74,2024-03-19 17:25:17.788168,0
10,24,PC,0,19,69,2024-03-19 17:25:17.813579,0
10,25,PC,0,19,69,2024-03-19 17:25:17.841144,0
10,23,PC,3,19,72,2024-03-19 17:25:17.867143,0
10,24,PC,3,19,72,2024-03-19 17:25:17.895044,0
10,24,PC,6,19,74,2024-03-19 17:25:17.921400,0
10,23,PC,0,19,69,2024-03-19 17:25:17.947332,0
10,23,PC,0,19,69,2024-03-19 17:25:17.972648,0
10,23,PC,0,19,69,2024-03-19 17:25:17.998129,0
10,23,PC,0,19,69,2024-03-19 17:25:18.023225,0
10,23,PC,3,19,72,2024-03-19 17:25:18.049945,0
10,24,PC,0,19,69,2024-03-19 17:25:18.076272,0
10,24,PC,3,19,72,2024-03-19 17:25:18.103110,0
10,24,PC,3,19,72,2024-03-19 17:25:18.129240,0
10,25,PC,0,19,69,2024-03-19 17:25:18.157148,0
10,24,PC,5,19,74,2024-03-19 17:25:18.182631,0
10,24,PC,3,19,72,2024-03-19 17:25:18.208684,0
10,23,PC,0,19,69,2024-03-19 17:25:18.234138,0
10,23,PC,0,19,69,2024-03-19 17:25:18.260681,0
10,25,PC,3,19,72,2024-03-19 17:25:18.287732,0
10,23,PC,0,19,69,2024-03-19 17:25:18.313643,0
10,24,PC,0,19,69,2024-03-19 17:25:18.340319,0
10,25,PC,0,19,69,2024-03-19 17:25:18.367362,0
10,23,PC,3,19,72,2024-03-19 17:25:18.392675,0
10,23,PC,6,19,74,2024-03-19 17:25:18.418676,0
10,24,PC,0,19,69,2024-03-19 17:25:18.445232,0
10,26,PC,3,19,72,2024-03-19 17:25:18.473286,0
10,24,PC,0,19,69,2024-03-19 17:25:18.499795,0
10,24,PC,0,19,69,2024-03-19 17:25:18.526256,0
10,23,PC,3,19,72,2024-03-19 17:25:18.552242,0
10,23,PC,5,19,74,2024-03-19 17:25:18.578182,0
10,24,PC,0,19,69,2024-03-19 17:25:18.603224,0
10,23,PC,3,19,72,2024-03-19 17:25:18.629553,0
10,23,PC,0,19,69,2024-03-19 17:25:18.655105,0
10,24,PC,0,19,69,2024-03-19 17:25:18.681382,0
10,25,PC,0,19,69,2024-03-19 17:25:18.708501,0
10,23,PC,4,19,73,2024-03-19 17:25:18.735357,0
10,25,PC,0,19,69,2024-03-19 17:25:18.762912,0
10,25,PC,0,19,69,2024-03-19 17:25:18.789960,0
10,23,PC,3,19,72,2024-03-19 17:25:18.814556,0
10,23,PC,0,19,69,2024-03-19 17:25:18.840162,0
10,24,PC,0,19,69,2024-03-19 17:25:18.866264,0
10,22,PC,0,19,69,2024-03-19 17:25:18.891264,0
10,24,PC,0,19,69,2024-03-19 17:25:18.917540,0
10,25,PC,0,19,69,2024-03-19 17:25:18.945124,0
10,25,PC,0,19,69,2024-03-19 17:25:18.972162,0
10,23,PC,0,19,69,2024-03-19 17:25:18.997317,0
10,24,PC,0,19,69,2024-03-19 17:25:19.023377,0
10,22,PC,3,19,72,2024-03-19 17:25:19.048142,0
10,23,PC,0,19,69,2024-03-19 17:25:19.073282,0
10,24,PC,3,19,72,2024-03-19 17:25:19.099391,0
10,24,PC,4,19,72,2024-03-19 17:25:19.125780,0
10,24,PC,0,19,69,2024-03-19 17:25:19.152350,0
10,24,PC,0,19,69,2024-03-19 17:25:19.179847,0
10,24,PC,0,19,69,2024-03-19 17:25:19.206073,0
10,24,PC,0,19,69,2024-03-19 17:25:19.232350,0
10,23,PC,0,19,69,2024-03-19 17:25:19.257908,0
10,23,PC,0,19,69,2024-03-19 17:25:19.283477,0
10,23,PC,0,19,69,2024-03-19 17:25:19.308751,0
10,25,PC,0,19,69,2024-03-19 17:25:19.334765,0
10,25,PC,0,19,69,2024-03-19 17:25:19.362854,0
10,24,PC,0,19,69,2024-03-19 17:25:19.389520,0
10,26,PC,0,19,69,2024-03-19 17:25:19.417683,0
10,25,PC,0,19,69,2024-03-19 17:25:19.445241,0
10,24,PC,3,19,72,2024-03-19 17:25:19.471481,0
10,23,PC,6,19,74,2024-03-19 17:25:19.496920,0
10,24,PC,0,19,69,2024-03-19 17:25:19.524070,0
10,24,PC,3,19,72,2024-03-19 17:25:19.550840,0
10,24,PC,0,19,69,2024-03-19 17:25:19.577359,0
10,25,PC,0,19,69,2024-03-19 17:25:19.604414,0
10,23,PC,6,19,74,2024-03-19 17:25:19.629576,0
10,22,PC,0,19,69,2024-03-19 17:25:19.654377,0
10,23,PC,0,19,69,2024-03-19 17:25:19.679476,0
10,23,PC,0,19,69,2024-03-19 17:25:19.703887,0
10,25,PC,6,19,74,2024-03-19 17:25:19.730974,0
10,26,PC,3,19,72,2024-03-19 17:25:19.759089,0
10,24,PC,0,19,69,2024-03-19 17:25:19.785519,0
10,27,PC,0,19,69,2024-03-19 17:25:19.816019,0
10,26,PC,9,19,77,2024-03-19 17:25:19.844590,0
10,25,PC,5,19,74,2024-03-19 17:25:19.871691,0
10,24,PC,3,19,72,2024-03-19 17:25:19.897819,0
10,26,PC,0,19,69,2024-03-19 17:25:19.927188,0
10,23,PC,0,19,69,2024-03-19 17:25:19.952977,0
10,23,PC,0,19,69,2024-03-19 17:25:19.979254,0
10,26,PC,0,19,69,2024-03-19 17:25:20.007546,0
10,25,PC,0,19,69,2024-03-19 17:25:20.034604,0
10,25,PC,0,19,69,2024-03-19 17:25:20.061383,0
10,23,PC,0,19,69,2024-03-19 17:25:20.086468,0
10,22,PC,3,19,72,2024-03-19 17:25:20.111332,0
10,23,PC,0,19,69,2024-03-19 17:25:20.136906,0
10,23,PC,3,19,72,2024-03-19 17:25:20.161942,0
10,23,PC,0,19,69,2024-03-19 17:25:20.187700,0
10,24,PC,0,19,69,2024-03-19 17:25:20.214556,0
10,24,PC,0,19,69,2024-03-19 17:25:20.241241,0
10,24,PC,5,19,74,2024-03-19 17:25:20.266361,0
10,24,PC,0,19,69,2024-03-19 17:25:20.292395,0
10,23,PC,3,19,72,2024-03-19 17:25:20.316842,0
10,23,PC,0,19,69,2024-03-19 17:25:20.341621,0
10,25,PC,0,19,69,2024-03-19 17:25:20.368982,0
