batch_size,delta,device_type,cpu,memory,consumption,timestamp,gpu
10,32,Laptop,9,78,19,2024-03-19 17:51:24.681861,0
10,35,Laptop,16,78,19,2024-03-19 17:51:24.718025,0
10,33,Laptop,7,78,19,2024-03-19 17:51:24.752241,0
10,34,Laptop,13,78,19,2024-03-19 17:51:24.786673,0
10,32,Laptop,5,78,19,2024-03-19 17:51:24.819378,0
10,31,Laptop,7,78,19,2024-03-19 17:51:24.851424,0
10,31,Laptop,7,78,19,2024-03-19 17:51:24.883904,0
10,35,Laptop,16,78,19,2024-03-19 17:51:24.920290,0
10,33,Laptop,14,78,19,2024-03-19 17:51:24.954392,0
10,32,Laptop,7,78,19,2024-03-19 17:51:24.987301,0
10,31,Laptop,8,78,19,2024-03-19 17:51:25.019232,0
10,31,Laptop,7,78,19,2024-03-19 17:51:25.051262,0
10,33,Laptop,7,78,19,2024-03-19 17:51:25.085194,0
10,33,Laptop,18,78,20,2024-03-19 17:51:25.119365,0
10,39,Laptop,7,78,19,2024-03-19 17:51:25.159826,0
10,37,Laptop,5,78,19,2024-03-19 17:51:25.197706,0
10,33,Laptop,9,78,19,2024-03-19 17:51:25.231868,0
10,32,Laptop,7,78,19,2024-03-19 17:51:25.264540,0
10,32,Laptop,7,78,19,2024-03-19 17:51:25.297897,0
10,41,Laptop,12,78,19,2024-03-19 17:51:25.340096,0
10,34,Laptop,12,78,19,2024-03-19 17:51:25.374791,0
10,31,Laptop,13,78,19,2024-03-19 17:51:25.406438,0
10,31,Laptop,6,78,19,2024-03-19 17:51:25.438128,0
10,33,Laptop,7,78,19,2024-03-19 17:51:25.471623,0
10,32,Laptop,7,78,19,2024-03-19 17:51:25.504829,0
10,34,Laptop,12,78,19,2024-03-19 17:51:25.539894,0
10,42,Laptop,7,78,19,2024-03-19 17:51:25.582678,0
10,34,Laptop,8,78,19,2024-03-19 17:51:25.617084,0
10,31,Laptop,5,78,19,2024-03-19 17:51:25.649415,0
10,32,Laptop,7,78,19,2024-03-19 17:51:25.681891,0
10,32,Laptop,11,78,19,2024-03-19 17:51:25.715025,0
10,33,Laptop,7,78,19,2024-03-19 17:51:25.749191,0
10,34,Laptop,10,78,19,2024-03-19 17:51:25.783841,0
10,31,Laptop,7,78,19,2024-03-19 17:51:25.815592,0
10,33,Laptop,14,78,19,2024-03-19 17:51:25.849377,0
10,31,Laptop,6,78,19,2024-03-19 17:51:25.881230,0
10,31,Laptop,9,78,19,2024-03-19 17:51:25.913561,0
10,35,Laptop,14,78,19,2024-03-19 17:51:25.950045,0
10,45,Laptop,13,78,19,2024-03-19 17:51:25.995612,0
10,32,Laptop,5,78,19,2024-03-19 17:51:26.028937,0
10,32,Laptop,7,78,19,2024-03-19 17:51:26.061612,0
10,31,Laptop,9,78,19,2024-03-19 17:51:26.093914,0
10,33,Laptop,10,78,19,2024-03-19 17:51:26.127424,0
10,36,Laptop,18,78,20,2024-03-19 17:51:26.164064,0
10,33,Laptop,9,78,19,2024-03-19 17:51:26.197929,0
10,31,Laptop,6,78,19,2024-03-19 17:51:26.229718,0
10,30,Laptop,6,78,19,2024-03-19 17:51:26.260593,0
10,31,Laptop,9,78,19,2024-03-19 17:51:26.292930,0
10,31,Laptop,9,78,19,2024-03-19 17:51:26.325134,0
10,34,Laptop,20,78,20,2024-03-19 17:51:26.359774,0
10,32,Laptop,9,78,19,2024-03-19 17:51:26.393269,0
10,37,Laptop,9,78,19,2024-03-19 17:51:26.431286,0
10,32,Laptop,7,78,19,2024-03-19 17:51:26.464024,0
10,40,Laptop,6,78,19,2024-03-19 17:51:26.505057,0
10,33,Laptop,9,78,19,2024-03-19 17:51:26.538890,0
10,32,Laptop,9,78,19,2024-03-19 17:51:26.571625,0
10,36,Laptop,15,78,19,2024-03-19 17:51:26.608211,0
10,33,Laptop,16,78,19,2024-03-19 17:51:26.642140,0
10,34,Laptop,9,78,19,2024-03-19 17:51:26.676637,0
10,32,Laptop,5,78,19,2024-03-19 17:51:26.709433,0
10,31,Laptop,6,78,19,2024-03-19 17:51:26.741078,0
10,31,Laptop,5,78,19,2024-03-19 17:51:26.773322,0
10,33,Laptop,16,78,19,2024-03-19 17:51:26.807231,0
10,36,Laptop,14,78,19,2024-03-19 17:51:26.844385,0
