delta,fps,pixel,device_type,cpu,memory,consumption,gpu,in_time
39,15,1080,Orin,22,71,6,30,True
40,15,1080,Orin,19,71,6,30,True
40,15,1080,Orin,19,71,6,30,True
40,15,1080,Orin,22,71,6,30,True
40,15,1080,Orin,19,71,6,30,True
40,15,1080,Orin,17,71,6,30,True
41,15,1080,Orin,17,71,6,30,True
40,15,1080,Orin,15,71,6,30,True
44,15,1080,Orin,20,71,6,30,True
40,15,1080,Orin,17,71,6,30,True
40,15,1080,Orin,20,71,6,30,True
40,15,1080,Orin,23,71,6,30,True
40,15,1080,Orin,18,71,6,30,True
40,15,1080,Orin,19,71,6,30,True
40,15,1080,Orin,20,71,6,30,True
40,15,1080,Orin,20,71,6,30,True
40,15,1080,Orin,18,71,6,30,True
40,15,1080,Orin,19,71,6,30,True
40,15,1080,Orin,16,71,6,30,True
40,15,1080,Orin,19,71,6,30,True
40,15,1080,Orin,19,71,6,30,True
40,15,1080,Orin,22,71,6,30,True
40,15,1080,Orin,18,71,6,30,True
44,15,1080,Orin,16,71,6,30,True
40,15,1080,Orin,20,71,6,30,True
40,15,1080,Orin,18,71,6,30,True
40,15,1080,Orin,20,71,6,30,True
40,15,1080,Orin,19,71,6,30,True
40,15,1080,Orin,18,71,6,30,True
40,15,1080,Orin,19,71,6,30,True
40,15,1080,Orin,19,71,6,30,True
40,15,1080,Orin,19,71,6,30,True
40,15,1080,Orin,20,71,6,30,True
40,15,1080,Orin,18,71,6,30,True
40,15,1080,Orin,20,71,6,30,True
40,15,1080,Orin,20,71,6,30,True
40,15,1080,Orin,17,71,6,30,True
40,15,1080,Orin,20,71,6,30,True
42,15,1080,Orin,20,71,6,30,True
40,15,1080,Orin,21,71,6,30,True
41,15,1080,Orin,15,71,6,30,True
41,15,1080,Orin,24,71,6,30,True
41,15,1080,Orin,22,71,6,30,True
42,15,1080,Orin,18,71,6,30,True
40,15,1080,Orin,17,71,6,30,True
40,15,1080,Orin,18,71,6,30,True
40,15,1080,Orin,13,71,6,30,True
41,15,1080,Orin,16,71,6,30,True
40,15,1080,Orin,17,71,6,30,True
40,15,1080,Orin,18,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,17,71,6,30,True
41,15,1080,Orin,14,71,6,30,True
41,15,1080,Orin,19,71,6,30,True
42,15,1080,Orin,20,71,6,30,True
42,15,1080,Orin,22,71,6,30,True
41,15,1080,Orin,17,71,6,30,True
43,15,1080,Orin,18,71,6,30,True
41,15,1080,Orin,19,71,6,30,True
41,15,1080,Orin,21,71,6,30,True
42,15,1080,Orin,18,71,6,30,True
45,15,1080,Orin,18,71,6,30,True
40,15,1080,Orin,17,71,6,30,True
40,15,1080,Orin,17,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,19,71,6,30,True
40,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,32,71,6,30,True
41,15,1080,Orin,34,71,6,30,True
42,15,1080,Orin,19,71,6,30,True
40,15,1080,Orin,21,71,6,30,True
41,15,1080,Orin,15,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
42,15,1080,Orin,20,71,6,30,True
43,15,1080,Orin,17,71,6,30,True
41,15,1080,Orin,19,71,6,30,True
41,15,1080,Orin,24,71,6,30,True
40,15,1080,Orin,13,71,6,30,True
40,15,1080,Orin,17,71,6,30,True
40,15,1080,Orin,17,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,22,71,6,30,True
41,15,1080,Orin,18,71,6,30,True
41,15,1080,Orin,15,71,6,30,True
41,15,1080,Orin,13,71,6,30,True
40,15,1080,Orin,21,71,6,30,True
40,15,1080,Orin,22,71,6,30,True
40,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,21,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
43,15,1080,Orin,20,71,6,30,True
43,15,1080,Orin,19,71,6,30,True
40,15,1080,Orin,15,71,6,30,True
40,15,1080,Orin,22,71,6,30,True
41,15,1080,Orin,17,71,6,30,True
40,15,1080,Orin,15,71,6,30,True
41,15,1080,Orin,23,71,6,30,True
40,15,1080,Orin,24,71,6,30,True
40,15,1080,Orin,20,71,6,30,True
40,15,1080,Orin,20,71,6,30,True
40,15,1080,Orin,22,71,6,30,True
41,15,1080,Orin,17,71,6,30,True
41,15,1080,Orin,18,71,6,30,True
40,15,1080,Orin,21,71,6,30,True
41,15,1080,Orin,17,71,6,30,True
41,15,1080,Orin,23,71,6,30,True
41,15,1080,Orin,13,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,22,71,6,30,True
42,15,1080,Orin,22,71,6,30,True
41,15,1080,Orin,15,71,6,30,True
40,15,1080,Orin,17,71,6,30,True
41,15,1080,Orin,19,71,6,30,True
42,15,1080,Orin,20,71,6,30,True
44,15,1080,Orin,18,71,6,30,True
41,15,1080,Orin,18,71,6,30,True
41,15,1080,Orin,22,71,6,30,True
41,15,1080,Orin,22,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,15,71,6,30,True
41,15,1080,Orin,19,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
45,15,1080,Orin,20,71,6,30,True
40,15,1080,Orin,16,71,6,30,True
40,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,18,71,6,30,True
40,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,23,71,6,30,True
41,15,1080,Orin,22,71,6,30,True
41,15,1080,Orin,19,71,6,30,True
43,15,1080,Orin,18,71,6,30,True
41,15,1080,Orin,17,71,6,30,True
41,15,1080,Orin,22,71,6,30,True
40,15,1080,Orin,22,71,6,30,True
41,15,1080,Orin,13,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
43,15,1080,Orin,20,71,6,30,True
43,15,1080,Orin,21,71,6,30,True
41,15,1080,Orin,23,71,6,30,True
41,15,1080,Orin,17,71,6,30,True
41,15,1080,Orin,15,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,19,71,6,30,True
46,15,1080,Orin,21,71,6,30,True
41,15,1080,Orin,18,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
42,15,1080,Orin,22,71,6,30,True
43,15,1080,Orin,20,71,6,30,True
42,15,1080,Orin,21,71,6,30,True
42,15,1080,Orin,25,71,6,30,True
41,15,1080,Orin,17,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
42,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,15,71,6,30,True
41,15,1080,Orin,17,71,6,30,True
40,15,1080,Orin,22,71,6,30,True
42,15,1080,Orin,20,71,6,30,True
42,15,1080,Orin,20,71,6,30,True
46,15,1080,Orin,14,71,6,30,True
41,15,1080,Orin,18,71,6,30,True
41,15,1080,Orin,21,71,6,30,True
40,15,1080,Orin,18,71,6,30,True
40,15,1080,Orin,19,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
42,15,1080,Orin,20,71,6,30,True
43,15,1080,Orin,19,71,6,30,True
41,15,1080,Orin,17,71,6,30,True
42,15,1080,Orin,19,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
40,15,1080,Orin,17,71,6,30,True
41,15,1080,Orin,19,71,6,30,True
41,15,1080,Orin,22,71,6,30,True
40,15,1080,Orin,19,71,6,30,True
40,15,1080,Orin,17,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,22,71,6,30,True
41,15,1080,Orin,18,71,6,30,True
40,15,1080,Orin,17,71,6,30,True
41,15,1080,Orin,22,71,6,30,True
41,15,1080,Orin,21,71,6,30,True
41,15,1080,Orin,18,71,6,30,True
42,15,1080,Orin,16,71,6,30,True
40,15,1080,Orin,19,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,19,71,6,30,True
40,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,22,71,6,30,True
43,15,1080,Orin,22,71,6,30,True
40,15,1080,Orin,13,71,6,30,True
41,15,1080,Orin,15,71,6,30,True
41,15,1080,Orin,17,71,6,30,True
42,15,1080,Orin,19,71,6,30,True
40,15,1080,Orin,22,71,6,30,True
42,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,15,71,6,30,True
42,15,1080,Orin,22,71,6,30,True
42,15,1080,Orin,18,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
42,15,1080,Orin,20,71,6,30,True
42,15,1080,Orin,15,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,17,71,6,30,True
42,15,1080,Orin,24,71,6,30,True
42,15,1080,Orin,19,71,6,30,True
41,15,1080,Orin,19,71,6,30,True
40,15,1080,Orin,15,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,17,71,6,30,True
42,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
47,15,1080,Orin,19,71,6,30,True
41,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,19,71,6,30,True
42,15,1080,Orin,17,71,6,30,True
42,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,18,71,6,30,True
41,15,1080,Orin,17,71,6,30,True
42,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,19,71,6,30,True
42,15,1080,Orin,20,71,6,30,True
44,15,1080,Orin,19,71,6,30,True
43,15,1080,Orin,19,71,6,30,True
41,15,1080,Orin,17,71,6,30,True
42,15,1080,Orin,18,71,6,30,True
41,15,1080,Orin,19,71,6,30,True
42,15,1080,Orin,20,71,6,30,True
41,15,1080,Orin,21,71,6,30,True
41,15,1080,Orin,17,71,6,30,True
42,15,1080,Orin,20,71,6,30,True
42,15,1080,Orin,24,71,6,30,True
40,15,1080,Orin,13,71,6,30,True
40,15,1080,Orin,15,71,6,30,True
40,15,1080,Orin,18,71,6,30,True
44,15,1080,Orin,16,71,6,30,True
42,15,1080,Orin,15,71,6,30,True
41,15,1080,Orin,15,71,6,30,True
42,15,1080,Orin,16,71,6,30,True
41,15,1080,Orin,17,71,6,30,True
41,20,1080,Orin,46,72,7,40,True
44,20,1080,Orin,25,72,6,40,True
44,20,1080,Orin,26,72,6,40,True
46,20,1080,Orin,21,72,6,40,True
43,20,1080,Orin,22,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
46,20,1080,Orin,18,72,6,40,True
46,20,1080,Orin,23,72,6,40,True
44,20,1080,Orin,27,72,6,40,True
44,20,1080,Orin,19,72,6,40,True
46,20,1080,Orin,23,72,6,40,True
45,20,1080,Orin,42,72,7,40,True
44,20,1080,Orin,44,72,7,40,True
44,20,1080,Orin,27,72,6,40,True
44,20,1080,Orin,26,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
43,20,1080,Orin,22,72,6,40,True
43,20,1080,Orin,26,72,6,40,True
42,20,1080,Orin,21,72,6,40,True
41,20,1080,Orin,27,72,6,40,True
42,20,1080,Orin,23,72,6,40,True
43,20,1080,Orin,23,72,6,40,True
42,20,1080,Orin,25,72,6,40,True
42,20,1080,Orin,22,72,6,40,True
44,20,1080,Orin,29,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
45,20,1080,Orin,16,72,6,40,True
43,20,1080,Orin,22,72,6,40,True
44,20,1080,Orin,23,72,6,40,True
43,20,1080,Orin,24,72,6,40,True
44,20,1080,Orin,25,72,6,40,True
41,20,1080,Orin,25,72,6,40,True
44,20,1080,Orin,21,72,6,40,True
45,20,1080,Orin,22,72,6,40,True
45,20,1080,Orin,26,72,6,40,True
43,20,1080,Orin,31,72,6,40,True
44,20,1080,Orin,27,72,6,40,True
43,20,1080,Orin,24,72,6,40,True
43,20,1080,Orin,24,72,6,40,True
44,20,1080,Orin,24,72,6,40,True
43,20,1080,Orin,19,72,6,40,True
42,20,1080,Orin,26,72,6,40,True
42,20,1080,Orin,17,72,6,40,True
44,20,1080,Orin,23,72,6,40,True
46,20,1080,Orin,21,72,6,40,True
46,20,1080,Orin,27,72,6,40,True
44,20,1080,Orin,27,72,6,40,True
44,20,1080,Orin,17,72,6,40,True
44,20,1080,Orin,25,72,6,40,True
45,20,1080,Orin,24,72,6,40,True
44,20,1080,Orin,24,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
44,20,1080,Orin,24,72,6,40,True
45,20,1080,Orin,26,72,6,40,True
43,20,1080,Orin,25,72,6,40,True
43,20,1080,Orin,14,72,6,40,True
44,20,1080,Orin,30,72,6,40,True
44,20,1080,Orin,16,72,6,40,True
44,20,1080,Orin,26,72,6,40,True
44,20,1080,Orin,26,72,6,40,True
44,20,1080,Orin,22,72,6,40,True
45,20,1080,Orin,29,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
44,20,1080,Orin,23,72,6,40,True
45,20,1080,Orin,19,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
45,20,1080,Orin,19,72,6,40,True
45,20,1080,Orin,21,72,6,40,True
44,20,1080,Orin,22,72,6,40,True
43,20,1080,Orin,28,72,6,40,True
43,20,1080,Orin,24,72,6,40,True
45,20,1080,Orin,28,72,6,40,True
46,20,1080,Orin,23,72,6,40,True
44,20,1080,Orin,20,72,6,40,True
44,20,1080,Orin,23,72,6,40,True
44,20,1080,Orin,21,72,6,40,True
44,20,1080,Orin,27,72,6,40,True
44,20,1080,Orin,25,72,6,40,True
45,20,1080,Orin,24,72,6,40,True
45,20,1080,Orin,28,72,6,40,True
44,20,1080,Orin,25,72,6,40,True
43,20,1080,Orin,21,72,6,40,True
45,20,1080,Orin,28,72,6,40,True
46,20,1080,Orin,21,72,6,40,True
46,20,1080,Orin,25,72,6,40,True
46,20,1080,Orin,25,72,6,40,True
45,20,1080,Orin,21,72,6,40,True
44,20,1080,Orin,22,72,6,40,True
45,20,1080,Orin,27,72,6,40,True
45,20,1080,Orin,28,72,6,40,True
46,20,1080,Orin,24,72,6,40,True
44,20,1080,Orin,22,72,6,40,True
45,20,1080,Orin,27,72,6,40,True
45,20,1080,Orin,19,72,6,40,True
44,20,1080,Orin,24,72,6,40,True
46,20,1080,Orin,23,72,6,40,True
45,20,1080,Orin,30,72,6,40,True
46,20,1080,Orin,23,72,6,40,True
44,20,1080,Orin,25,72,6,40,True
42,20,1080,Orin,26,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
44,20,1080,Orin,27,72,6,40,True
44,20,1080,Orin,16,72,6,40,True
46,20,1080,Orin,28,72,6,40,True
46,20,1080,Orin,26,72,6,40,True
47,20,1080,Orin,28,72,6,40,True
45,20,1080,Orin,22,72,6,40,True
45,20,1080,Orin,33,72,6,40,True
45,20,1080,Orin,24,72,6,40,True
44,20,1080,Orin,21,72,6,40,True
45,20,1080,Orin,26,72,6,40,True
46,20,1080,Orin,25,72,6,40,True
46,20,1080,Orin,23,72,6,40,True
45,20,1080,Orin,28,72,6,40,True
45,20,1080,Orin,26,72,6,40,True
45,20,1080,Orin,29,72,6,40,True
43,20,1080,Orin,20,72,6,40,True
44,20,1080,Orin,28,72,6,40,True
44,20,1080,Orin,23,72,6,40,True
45,20,1080,Orin,28,72,6,40,True
45,20,1080,Orin,27,72,6,40,True
45,20,1080,Orin,28,72,6,40,True
45,20,1080,Orin,22,72,6,40,True
46,20,1080,Orin,27,72,6,40,True
44,20,1080,Orin,20,72,6,40,True
45,20,1080,Orin,21,72,6,40,True
45,20,1080,Orin,21,72,6,40,True
43,20,1080,Orin,22,72,6,40,True
43,20,1080,Orin,21,72,6,40,True
44,20,1080,Orin,19,72,6,40,True
44,20,1080,Orin,25,72,6,40,True
42,20,1080,Orin,32,72,6,40,True
43,20,1080,Orin,16,72,6,40,True
43,20,1080,Orin,24,72,6,40,True
43,20,1080,Orin,18,72,6,40,True
44,20,1080,Orin,26,72,6,40,True
45,20,1080,Orin,26,72,6,40,True
45,20,1080,Orin,26,72,6,40,True
44,20,1080,Orin,24,72,6,40,True
44,20,1080,Orin,24,72,6,40,True
45,20,1080,Orin,26,72,6,40,True
44,20,1080,Orin,26,72,6,40,True
43,20,1080,Orin,21,72,6,40,True
43,20,1080,Orin,24,72,6,40,True
44,20,1080,Orin,23,72,6,40,True
45,20,1080,Orin,35,72,6,40,True
46,20,1080,Orin,24,72,6,40,True
44,20,1080,Orin,27,72,6,40,True
43,20,1080,Orin,19,72,6,40,True
44,20,1080,Orin,24,72,6,40,True
42,20,1080,Orin,24,72,6,40,True
44,20,1080,Orin,23,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
46,20,1080,Orin,29,72,6,40,True
44,20,1080,Orin,27,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
45,20,1080,Orin,22,72,6,40,True
46,20,1080,Orin,28,72,6,40,True
45,20,1080,Orin,20,72,6,40,True
44,20,1080,Orin,21,72,6,40,True
44,20,1080,Orin,23,72,6,40,True
44,20,1080,Orin,23,72,6,40,True
44,20,1080,Orin,26,72,6,40,True
45,20,1080,Orin,22,72,6,40,True
45,20,1080,Orin,21,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
45,20,1080,Orin,24,72,6,40,True
45,20,1080,Orin,21,72,6,40,True
45,20,1080,Orin,28,72,6,40,True
49,20,1080,Orin,21,72,6,40,True
43,20,1080,Orin,28,72,6,40,True
44,20,1080,Orin,17,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
43,20,1080,Orin,20,72,6,40,True
43,20,1080,Orin,23,72,6,40,True
43,20,1080,Orin,23,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
44,20,1080,Orin,27,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
47,20,1080,Orin,21,72,6,40,True
43,20,1080,Orin,25,72,6,40,True
44,20,1080,Orin,22,72,6,40,True
45,20,1080,Orin,21,72,6,40,True
45,20,1080,Orin,29,72,6,40,True
45,20,1080,Orin,22,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
45,20,1080,Orin,26,72,6,40,True
43,20,1080,Orin,24,72,6,40,True
44,20,1080,Orin,21,72,6,40,True
45,20,1080,Orin,22,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
45,20,1080,Orin,19,72,6,40,True
45,20,1080,Orin,26,72,6,40,True
46,20,1080,Orin,26,72,6,40,True
48,20,1080,Orin,19,72,6,40,True
42,20,1080,Orin,23,72,6,40,True
44,20,1080,Orin,23,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
46,20,1080,Orin,25,72,6,40,True
45,20,1080,Orin,22,72,6,40,True
46,20,1080,Orin,28,72,6,40,True
45,20,1080,Orin,22,72,6,40,True
44,20,1080,Orin,21,72,6,40,True
45,20,1080,Orin,21,72,6,40,True
47,20,1080,Orin,26,72,6,40,True
47,20,1080,Orin,22,72,6,40,True
45,20,1080,Orin,28,72,6,40,True
46,20,1080,Orin,24,72,6,40,True
45,20,1080,Orin,22,72,6,40,True
45,20,1080,Orin,18,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
46,20,1080,Orin,29,72,6,40,True
46,20,1080,Orin,19,72,6,40,True
47,20,1080,Orin,25,72,6,40,True
45,20,1080,Orin,29,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
46,20,1080,Orin,23,72,6,40,True
47,20,1080,Orin,21,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
46,20,1080,Orin,26,72,6,40,True
46,20,1080,Orin,23,72,6,40,True
45,20,1080,Orin,22,72,6,40,True
46,20,1080,Orin,23,72,6,40,True
47,20,1080,Orin,25,72,6,40,True
46,20,1080,Orin,23,72,6,40,True
46,20,1080,Orin,30,72,6,40,True
47,20,1080,Orin,21,72,6,40,True
46,20,1080,Orin,25,72,6,40,True
46,20,1080,Orin,17,72,6,40,True
46,20,1080,Orin,26,72,6,40,True
46,20,1080,Orin,26,72,6,40,True
46,20,1080,Orin,23,72,6,40,True
47,20,1080,Orin,23,72,6,40,True
45,20,1080,Orin,20,72,6,40,True
46,20,1080,Orin,23,72,6,40,True
46,20,1080,Orin,20,72,6,40,True
44,20,1080,Orin,30,72,6,40,True
44,20,1080,Orin,22,72,6,40,True
46,20,1080,Orin,21,72,6,40,True
45,20,1080,Orin,23,72,6,40,True
45,20,1080,Orin,17,72,6,40,True
45,20,1080,Orin,22,72,6,40,True
46,20,1080,Orin,23,72,6,40,True
47,20,1080,Orin,21,72,6,40,True
45,20,1080,Orin,30,72,6,40,True
47,20,1080,Orin,25,72,6,40,True
45,20,1080,Orin,23,72,6,40,True
48,20,1080,Orin,23,72,6,40,True
44,20,1080,Orin,18,72,6,40,True
45,20,1080,Orin,21,72,6,40,True
45,20,1080,Orin,19,72,6,40,True
46,20,1080,Orin,25,72,6,40,True
45,20,1080,Orin,28,72,6,40,True
46,20,1080,Orin,20,72,6,40,True
47,20,1080,Orin,28,72,6,40,True
47,20,1080,Orin,22,72,6,40,True
47,20,1080,Orin,31,72,6,40,True
48,20,1080,Orin,37,72,6,40,True
48,20,1080,Orin,40,72,6,40,True
48,20,1080,Orin,21,72,6,40,True
47,20,1080,Orin,28,72,6,40,True
48,20,1080,Orin,26,72,6,40,True
47,20,1080,Orin,22,72,6,40,True
48,20,1080,Orin,21,72,6,40,True
46,20,1080,Orin,24,72,6,40,True
46,20,1080,Orin,20,72,6,40,True
45,20,1080,Orin,24,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
47,20,1080,Orin,23,72,6,40,True
47,20,1080,Orin,23,72,6,40,True
46,20,1080,Orin,31,72,6,40,True
46,20,1080,Orin,21,72,6,40,True
47,20,1080,Orin,24,72,6,40,True
48,20,1080,Orin,25,72,6,40,True
46,20,1080,Orin,22,72,6,40,True
47,20,1080,Orin,21,72,6,40,True
47,20,1080,Orin,25,72,6,40,True
47,20,1080,Orin,19,72,6,40,True
46,20,1080,Orin,30,72,6,40,True
46,20,1080,Orin,23,72,6,40,True
47,20,1080,Orin,24,72,6,40,True
46,20,1080,Orin,25,72,6,40,True
47,20,1080,Orin,23,72,6,40,True
45,20,1080,Orin,20,72,6,40,True
47,20,1080,Orin,22,72,6,40,True
46,20,1080,Orin,17,72,6,40,True
46,20,1080,Orin,23,72,6,40,True
46,20,1080,Orin,16,72,6,40,True
45,20,1080,Orin,25,72,6,40,True
46,20,1080,Orin,18,72,6,40,True
41,25,1080,Orin,52,72,7,65,False
49,25,1080,Orin,27,72,6,65,False
46,25,1080,Orin,30,72,6,65,False
44,25,1080,Orin,28,72,6,65,False
44,25,1080,Orin,27,72,6,65,False
44,25,1080,Orin,25,72,6,65,False
46,25,1080,Orin,21,72,6,65,False
43,25,1080,Orin,27,72,6,65,False
38,25,1080,Orin,30,72,6,65,True
45,25,1080,Orin,27,72,6,65,False
44,25,1080,Orin,15,72,6,65,False
45,25,1080,Orin,28,72,6,65,False
46,25,1080,Orin,25,72,6,65,False
46,25,1080,Orin,28,72,6,65,False
45,25,1080,Orin,24,72,6,65,False
46,25,1080,Orin,25,72,6,65,False
43,25,1080,Orin,24,72,6,65,False
40,25,1080,Orin,28,72,6,65,True
46,25,1080,Orin,23,72,6,65,False
44,25,1080,Orin,21,72,6,65,False
39,25,1080,Orin,33,72,6,65,True
48,25,1080,Orin,24,72,6,65,False
43,25,1080,Orin,25,72,6,65,False
39,25,1080,Orin,30,72,6,65,True
46,25,1080,Orin,23,72,6,65,False
44,25,1080,Orin,28,72,6,65,False
47,25,1080,Orin,24,72,6,65,False
44,25,1080,Orin,25,72,6,65,False
48,25,1080,Orin,25,72,6,65,False
44,25,1080,Orin,23,72,6,65,False
40,25,1080,Orin,33,72,6,65,True
45,25,1080,Orin,23,72,6,65,False
43,25,1080,Orin,27,72,6,65,False
38,25,1080,Orin,31,72,6,65,True
45,25,1080,Orin,25,72,6,65,False
43,25,1080,Orin,29,72,6,65,False
38,25,1080,Orin,24,72,6,65,True
45,25,1080,Orin,22,72,6,65,False
46,25,1080,Orin,23,72,6,65,False
46,25,1080,Orin,25,72,6,65,False
44,25,1080,Orin,16,72,6,65,False
46,25,1080,Orin,21,72,6,65,False
43,25,1080,Orin,26,72,6,65,False
38,25,1080,Orin,28,72,6,65,True
47,25,1080,Orin,22,72,6,65,False
44,25,1080,Orin,18,72,6,65,False
40,25,1080,Orin,31,72,6,65,True
46,25,1080,Orin,23,72,6,65,False
45,25,1080,Orin,28,72,6,65,False
46,25,1080,Orin,27,72,6,65,False
43,25,1080,Orin,26,72,6,65,False
47,25,1080,Orin,25,72,6,65,False
43,25,1080,Orin,25,72,6,65,False
41,25,1080,Orin,27,72,6,65,False
47,25,1080,Orin,31,72,6,65,False
45,25,1080,Orin,21,72,6,65,False
47,25,1080,Orin,25,72,6,65,False
43,25,1080,Orin,26,72,6,65,False
40,25,1080,Orin,29,72,6,65,True
45,25,1080,Orin,27,72,6,65,False
43,25,1080,Orin,25,72,6,65,False
39,25,1080,Orin,31,72,6,65,True
47,25,1080,Orin,25,72,6,65,False
45,25,1080,Orin,30,72,6,65,False
47,25,1080,Orin,23,72,6,65,False
42,25,1080,Orin,39,72,6,65,False
45,25,1080,Orin,41,72,7,65,False
46,25,1080,Orin,30,72,6,65,False
44,25,1080,Orin,18,72,6,65,False
39,25,1080,Orin,32,72,6,65,True
45,25,1080,Orin,23,72,6,65,False
43,25,1080,Orin,31,72,6,65,False
38,25,1080,Orin,29,72,6,65,True
46,25,1080,Orin,27,72,6,65,False
43,25,1080,Orin,26,72,6,65,False
38,25,1080,Orin,25,72,6,65,True
47,25,1080,Orin,29,72,6,65,False
44,25,1080,Orin,29,72,6,65,False
44,25,1080,Orin,26,72,6,65,False
38,25,1080,Orin,28,72,6,65,True
44,25,1080,Orin,28,72,6,65,False
46,25,1080,Orin,27,72,6,65,False
