delta,isentropic,data_size,fig_size,device_type,cpu,memory,consumption,timestamp,gpu
25,1,10,50,Laptop,6,36,19,2024-03-21 15:14:41.416753,0
25,1,10,50,Laptop,7,36,19,2024-03-21 15:14:41.675735,0
25,1,10,50,Laptop,7,36,19,2024-03-21 15:14:41.932971,0
26,1,10,50,Laptop,6,36,19,2024-03-21 15:14:42.193997,0
26,1,10,50,Laptop,7,36,19,2024-03-21 15:14:42.456233,0
30,1,10,80,Laptop,6,37,19,2024-03-21 15:14:42.761923,0
32,1,10,80,Laptop,6,37,19,2024-03-21 15:14:43.083416,0
31,1,10,80,Laptop,6,37,19,2024-03-21 15:14:43.400552,0
30,1,10,80,Laptop,7,37,19,2024-03-21 15:14:43.710807,0
50,1,10,80,Laptop,6,32,19,2024-03-21 15:14:44.211337,0
30,1,10,80,Laptop,6,33,19,2024-03-21 15:14:44.516066,0
30,1,10,80,Laptop,6,34,19,2024-03-21 15:14:44.820077,0
30,1,10,80,Laptop,6,34,19,2024-03-21 15:14:45.129795,0
30,1,10,80,Laptop,6,34,19,2024-03-21 15:14:45.439929,0
30,1,10,80,Laptop,6,35,19,2024-03-21 15:14:45.740652,0
24,1,20,1,Laptop,7,35,19,2024-03-21 15:14:45.985845,0
25,1,20,1,Laptop,6,35,19,2024-03-21 15:14:46.239405,0
24,1,20,1,Laptop,7,35,19,2024-03-21 15:14:46.489733,0
24,1,20,1,Laptop,6,35,19,2024-03-21 15:14:46.736280,0
24,1,20,1,Laptop,7,35,19,2024-03-21 15:14:46.984554,0
25,1,20,1,Laptop,6,35,19,2024-03-21 15:14:47.236588,0
25,1,20,1,Laptop,6,35,19,2024-03-21 15:14:47.490996,0
25,1,20,1,Laptop,7,35,19,2024-03-21 15:14:47.742364,0
24,1,20,1,Laptop,6,35,19,2024-03-21 15:14:47.988080,0
24,1,20,1,Laptop,6,35,19,2024-03-21 15:14:48.234584,0
24,1,20,10,Laptop,6,35,19,2024-03-21 15:14:48.482263,0
24,1,20,10,Laptop,7,35,19,2024-03-21 15:14:48.730780,0
25,1,20,10,Laptop,7,35,19,2024-03-21 15:14:48.985820,0
25,1,20,10,Laptop,6,35,19,2024-03-21 15:14:49.238888,0
24,1,20,10,Laptop,6,35,19,2024-03-21 15:14:49.484604,0
24,1,20,10,Laptop,6,35,19,2024-03-21 15:14:49.730401,0
24,1,20,10,Laptop,6,35,19,2024-03-21 15:14:49.979307,0
24,1,20,10,Laptop,6,35,19,2024-03-21 15:14:50.226612,0
24,1,20,10,Laptop,6,35,19,2024-03-21 15:14:50.474624,0
24,1,20,10,Laptop,6,35,19,2024-03-21 15:14:50.722911,0
24,1,20,20,Laptop,7,35,19,2024-03-21 15:14:50.972059,0
25,1,20,20,Laptop,6,35,19,2024-03-21 15:14:51.224248,0
24,1,20,20,Laptop,6,35,19,2024-03-21 15:14:51.472827,0
24,1,20,20,Laptop,6,35,19,2024-03-21 15:14:51.718167,0
24,1,20,20,Laptop,6,35,19,2024-03-21 15:14:51.966993,0
24,1,20,20,Laptop,6,35,19,2024-03-21 15:14:52.216392,0
24,1,20,20,Laptop,6,35,19,2024-03-21 15:14:52.463953,0
25,1,20,20,Laptop,6,35,19,2024-03-21 15:14:52.720665,0
25,1,20,20,Laptop,6,35,19,2024-03-21 15:14:52.973766,0
25,1,20,20,Laptop,6,35,19,2024-03-21 15:14:53.225451,0
28,1,20,50,Laptop,6,35,19,2024-03-21 15:14:53.513786,0
28,1,20,50,Laptop,6,35,19,2024-03-21 15:14:53.796387,0
29,1,20,50,Laptop,6,35,19,2024-03-21 15:14:54.087541,0
45,1,20,50,Laptop,6,32,19,2024-03-21 15:14:54.543957,0
27,1,20,50,Laptop,6,32,19,2024-03-21 15:14:54.822454,0
28,1,20,50,Laptop,6,32,19,2024-03-21 15:14:55.110722,0
28,1,20,50,Laptop,6,32,19,2024-03-21 15:14:55.391586,0
27,1,20,50,Laptop,6,33,19,2024-03-21 15:14:55.669536,0
29,1,20,50,Laptop,6,33,19,2024-03-21 15:14:55.960351,0
28,1,20,50,Laptop,6,33,19,2024-03-21 15:14:56.241451,0
32,1,20,80,Laptop,6,34,19,2024-03-21 15:14:56.568559,0
33,1,20,80,Laptop,6,34,19,2024-03-21 15:14:56.903454,0
32,1,20,80,Laptop,7,34,19,2024-03-21 15:14:57.232045,0
32,1,20,80,Laptop,6,35,19,2024-03-21 15:14:57.560756,0
33,1,20,80,Laptop,7,35,19,2024-03-21 15:14:57.900425,0
32,1,20,80,Laptop,6,36,19,2024-03-21 15:14:58.229867,0
32,1,20,80,Laptop,7,37,19,2024-03-21 15:14:58.556238,0
33,1,20,80,Laptop,7,37,19,2024-03-21 15:14:58.893551,0
32,1,20,80,Laptop,7,37,19,2024-03-21 15:14:59.223624,0
32,1,20,80,Laptop,6,38,19,2024-03-21 15:14:59.551922,0
28,1,30,1,Laptop,7,38,19,2024-03-21 15:14:59.837053,0
27,1,30,1,Laptop,7,38,19,2024-03-21 15:15:00.114355,0
27,1,30,1,Laptop,7,38,19,2024-03-21 15:15:00.391092,0
27,1,30,1,Laptop,6,38,19,2024-03-21 15:15:00.668621,0
27,1,30,1,Laptop,6,38,19,2024-03-21 15:15:00.942765,0
27,1,30,1,Laptop,6,38,19,2024-03-21 15:15:01.218492,0
27,1,30,1,Laptop,6,38,19,2024-03-21 15:15:01.498651,0
28,1,30,1,Laptop,6,38,19,2024-03-21 15:15:01.780155,0
28,1,30,1,Laptop,6,38,19,2024-03-21 15:15:02.065600,0
28,1,30,1,Laptop,6,38,19,2024-03-21 15:15:02.346601,0
27,1,30,10,Laptop,6,38,19,2024-03-21 15:15:02.622375,0
