delta,fps,pixel,device_type,cpu,memory,consumption,gpu,in_time,consumer_location,cumm_net_delay,latency_slo
40,20,1080,Laptop,51,26,22,0,True,PC,60,False
41,20,1080,Laptop,51,26,22,0,True,PC,61,False
40,20,1080,Laptop,50,26,22,0,True,PC,60,False
41,20,1080,Laptop,52,26,22,0,True,PC,61,False
41,20,1080,Laptop,49,26,22,0,True,PC,61,False
41,20,1080,Laptop,53,26,22,0,True,PC,61,False
41,20,1080,Laptop,49,26,22,0,True,PC,61,False
45,20,1080,Laptop,51,26,22,0,True,PC,65,False
41,20,1080,Laptop,51,26,22,0,True,PC,61,False
41,20,1080,Laptop,50,26,22,0,True,PC,61,False
41,20,1080,Laptop,52,26,22,0,True,PC,61,False
