delta,fps,pixel,device_type,cpu,memory,consumption,gpu,in_time,cumm_net_delay,viewer_satisfaction,energy,consumption_all,delta_privacy
41,30,720,Orin,29,72,6,75,False,97,10,26,26,36
41,15,720,Orin,22,72,6,30,True,95,7,14,14,34
30,20,480,Orin,25,72,6,40,True,81,7,14,14,31
31,20,480,Orin,19,72,6,40,True,82,7,14,14,31
33,30,720,Orin,32,72,6,75,True,90,10,26,26,37
28,15,480,Orin,20,72,6,30,True,81,6,14,14,33
32,15,480,Orin,14,72,6,30,True,85,6,14,14,33
35,30,480,Orin,29,72,6,75,False,84,9,26,26,29
29,25,480,Orin,27,72,6,65,True,82,8,22,22,33
29,15,480,Orin,17,72,6,30,True,82,6,14,14,33
46,25,1080,Orin,23,72,6,65,False,110,12,22,22,44
35,25,720,Orin,27,72,6,65,True,91,9,22,22,36
46,20,1080,Orin,25,72,6,40,True,111,11,14,14,45
44,35,1080,Orin,32,72,6,80,False,108,14,26,26,44
34,20,720,Orin,23,72,6,40,True,90,8,14,14,36
46,20,1080,Orin,25,72,6,40,True,109,11,14,14,43
29,15,480,Orin,18,72,6,30,True,79,6,14,14,30
29,15,480,Orin,18,72,6,30,True,79,6,14,14,30
30,20,480,Orin,18,72,6,40,True,84,7,14,14,34
34,20,720,Orin,23,72,6,40,True,91,8,14,14,37
40,30,720,Orin,34,72,6,75,False,97,10,26,26,37
33,15,480,Orin,18,72,6,30,True,83,6,14,14,30
37,20,720,Orin,26,72,6,40,True,93,8,14,14,36
40,15,1080,Orin,17,71,6,30,True,104,10,14,14,44
41,15,1080,Orin,20,71,6,30,True,104,10,14,14,43
32,25,480,Orin,26,72,6,65,True,84,8,22,22,32
40,30,1080,Orin,20,72,6,75,False,103,13,26,26,43
47,35,1080,Orin,24,72,6,80,False,112,14,26,26,45
35,35,480,Orin,27,72,6,80,False,86,10,26,26,31
45,20,1080,Orin,26,72,6,40,True,107,11,14,14,42
32,15,720,Orin,14,72,6,30,True,86,7,14,14,34
45,35,1080,Orin,25,72,6,80,False,110,14,26,26,45
29,30,480,Orin,34,72,6,75,True,80,9,26,26,31
31,30,480,Orin,29,72,6,75,True,82,9,26,26,31
33,15,720,Orin,20,72,6,30,True,87,7,14,14,34
41,15,1080,Orin,22,71,6,30,True,105,10,14,14,44
29,15,480,Orin,17,72,6,30,True,81,6,14,14,32
35,30,480,Orin,26,72,6,75,False,84,9,26,26,29
46,35,1080,Orin,26,72,6,80,False,110,14,26,26,44
46,30,1080,Orin,27,72,6,75,False,109,13,26,26,43
41,15,1080,Orin,15,71,6,30,True,105,10,14,14,44
36,25,720,Orin,28,72,6,65,True,92,9,22,22,36
30,25,480,Orin,25,72,6,65,True,79,8,22,22,29
30,30,480,Orin,35,72,6,75,True,85,9,26,26,35
34,15,720,Orin,20,72,6,30,True,88,7,14,14,34
32,30,720,Orin,32,72,6,75,True,88,10,26,26,36
30,30,480,Orin,32,72,6,75,True,80,9,26,26,30
33,15,720,Orin,20,72,6,30,True,88,7,14,14,35
37,35,720,Orin,33,72,6,80,False,93,11,26,26,36
43,30,1080,Orin,27,72,6,75,False,107,13,26,26,44
47,20,1080,Orin,25,72,6,40,True,110,11,14,14,43
44,20,1080,Orin,19,72,6,40,True,108,11,14,14,44
35,20,720,Orin,24,72,6,40,True,90,8,14,14,35
37,25,720,Orin,25,72,6,65,True,93,9,22,22,36
32,25,720,Orin,31,72,6,65,True,89,9,22,22,37
33,15,720,Orin,16,72,6,30,True,88,7,14,14,35
34,15,720,Orin,18,72,6,30,True,88,7,14,14,34
35,25,720,Orin,26,72,6,65,True,92,9,22,22,37
44,30,1080,Orin,28,72,6,75,False,108,13,26,26,44
45,15,1080,Orin,18,71,6,30,True,108,10,14,14,43
37,25,720,Orin,31,72,6,65,True,93,9,22,22,36
33,20,720,Orin,21,72,6,40,True,90,8,14,14,37
48,35,1080,Orin,31,72,6,80,False,112,14,26,26,44
35,35,480,Orin,24,72,6,80,False,84,10,26,26,29
46,25,1080,Orin,23,72,6,65,False,108,12,22,22,42
36,25,720,Orin,30,72,6,65,True,93,9,22,22,37
29,30,480,Orin,37,72,6,75,True,82,9,26,26,33
37,35,720,Orin,29,72,6,80,False,92,11,26,26,35
40,15,1080,Orin,20,71,6,30,True,103,10,14,14,43
29,30,480,Orin,30,72,6,75,True,78,9,26,26,29
34,25,720,Orin,30,72,6,65,True,90,9,22,22,36
34,15,720,Orin,18,72,6,30,True,87,7,14,14,33
40,35,720,Orin,26,72,6,80,False,96,11,26,26,36
47,20,1080,Orin,25,72,6,40,True,111,11,14,14,44
36,15,720,Orin,19,72,6,30,True,90,7,14,14,34
40,30,720,Orin,24,72,6,75,False,96,10,26,26,36
34,20,720,Orin,23,72,6,40,True,90,8,14,14,36
33,30,720,Orin,48,72,7,75,True,89,10,27,27,36
41,15,1080,Orin,20,71,6,30,True,106,10,14,14,45
37,25,720,Orin,27,72,6,65,True,94,9,22,22,37
39,30,1080,Orin,22,72,6,75,False,102,13,26,26,43
44,35,1080,Orin,26,72,6,80,False,110,14,26,26,46
33,20,720,Orin,23,72,6,40,True,90,8,14,14,37
33,25,480,Orin,25,72,6,65,True,86,8,22,22,33
30,20,480,Orin,22,72,6,40,True,81,7,14,14,31
30,20,480,Orin,22,72,6,40,True,82,7,14,14,32
36,15,720,Orin,20,72,6,30,True,89,7,14,14,33
48,30,1080,Orin,25,72,6,75,False,112,13,26,26,44
33,20,720,Orin,23,72,6,40,True,89,8,14,14,36
29,15,480,Orin,27,72,6,30,True,79,6,14,14,30
45,25,1080,Orin,28,72,6,65,False,108,12,22,22,43
30,35,480,Orin,29,72,6,80,False,80,10,26,26,30
39,35,720,Orin,32,72,6,80,False,95,11,26,26,36
37,25,720,Orin,25,72,6,65,True,94,9,22,22,37
48,35,1080,Orin,22,72,6,80,False,112,14,26,26,44
34,15,720,Orin,16,72,6,30,True,91,7,14,14,37
34,15,720,Orin,21,72,6,30,True,88,7,14,14,34
44,30,1080,Orin,24,72,6,75,False,108,13,26,26,44
36,35,720,Orin,32,72,6,80,False,92,11,26,26,36
47,30,1080,Orin,21,72,6,75,False,109,13,26,26,42
32,30,720,Orin,32,72,6,75,True,87,10,26,26,35
47,20,1080,Orin,21,72,6,40,True,110,11,14,14,43
46,30,1080,Orin,25,72,6,75,False,109,13,26,26,43
35,30,480,Orin,26,72,6,75,False,89,9,26,26,34
32,15,720,Orin,17,72,6,30,True,85,7,14,14,33
40,15,1080,Orin,17,71,6,30,True,104,10,14,14,44
46,35,1080,Orin,22,72,6,80,False,110,14,26,26,44
44,30,1080,Orin,26,72,6,75,False,108,13,26,26,44
30,15,480,Orin,18,72,6,30,True,83,6,14,14,33
29,20,480,Orin,23,72,6,40,True,80,7,14,14,31
44,35,1080,Orin,26,72,6,80,False,109,14,26,26,45
37,30,720,Orin,30,72,6,75,False,93,10,26,26,36
34,20,720,Orin,31,72,6,40,True,90,8,14,14,36
33,35,480,Orin,29,72,6,80,False,85,10,26,26,32
36,20,720,Orin,23,72,6,40,True,91,8,14,14,35
45,20,1080,Orin,22,72,6,40,True,109,11,14,14,44
45,20,1080,Orin,42,72,7,40,True,109,11,15,15,44
40,15,720,Orin,21,72,6,30,True,94,7,14,14,34
29,25,480,Orin,26,72,6,65,True,79,8,22,22,30
35,20,720,Orin,21,72,6,40,True,91,8,14,14,36
33,25,480,Orin,23,72,6,65,True,84,8,22,22,31
33,30,720,Orin,32,72,6,75,True,90,10,26,26,37
45,25,1080,Orin,30,72,6,65,False,108,12,22,22,43
29,25,480,Orin,21,72,6,65,True,78,8,22,22,29
34,30,720,Orin,48,72,7,75,False,91,10,27,27,37
37,30,720,Orin,34,72,6,75,False,94,10,26,26,37
44,20,1080,Orin,22,72,6,40,True,108,11,14,14,44
46,25,1080,Orin,27,72,6,65,False,111,12,22,22,45
47,30,1080,Orin,25,72,6,75,False,111,13,26,26,44
43,35,1080,Orin,26,72,6,80,False,106,14,26,26,43
43,25,1080,Orin,26,72,6,65,False,106,12,22,22,43
34,20,720,Orin,23,72,6,40,True,90,8,14,14,36
40,30,720,Orin,32,72,6,75,False,96,10,26,26,36
29,20,480,Orin,45,72,7,40,True,80,7,15,15,31
28,25,480,Orin,25,72,6,65,True,77,8,22,22,29
33,15,720,Orin,23,72,6,30,True,88,7,14,14,35
38,30,720,Orin,30,72,6,75,False,94,10,26,26,36
33,30,480,Orin,32,72,6,75,True,82,9,26,26,29
48,35,1080,Orin,29,72,6,80,False,113,14,26,26,45
34,20,720,Orin,35,72,6,40,True,90,8,14,14,36
